variable,description,variable_type,summary,summary for the subset,variable used in persistent leanness
gramlong18,Soft whey cheese (messmör) (Food item removed in the short FFQ (after 1995));Food intake converted to gram per day   (Before 1995);,C,mean : 0.92 ; min : 0 ; max : 60 ; sd : 3.36; missing values : 131017,mean : 0.84 ; min : 0 ; max : 60 ; sd : 3.26; missing values : 51334,N
gramlong19,Sausage on bread;Food intake converted to gram per day   (Before 1995);,C,mean : 3.47 ; min : 0 ; max : 136 ; sd : 6.82; missing values : 131017,mean : 3.04 ; min : 0 ; max : 136 ; sd : 5.94; missing values : 51334,N
gramlong20,Meat on bread;Food intake converted to gram per day   (Before 1995);,C,mean : 5.64 ; min : 0 ; max : 128 ; sd : 8.02; missing values : 131017,mean : 5.52 ; min : 0 ; max : 112 ; sd : 7.72; missing values : 51334,N
gramlong21,Liver pàté on bread (Incorporated in ’sausage on bread’ in the short FFQ (after 1995));Food intake converted to gram per day   (Before 1995);,C,mean : 2.13 ; min : 0 ; max : 92 ; sd : 3.64; missing values : 131017,mean : 2.09 ; min : 0 ; max : 64 ; sd : 3.4; missing values : 51334,N
gramlong22,Oatflake porridge (Incorporated in ’whole wheat; rye; or barley porridge’ in the short FFQ);Food intake converted to gram per day   (Before 1995);,C,mean : 28.97 ; min : 0 ; max : 800 ; sd : 50.25; missing values : 131017,mean : 24.65 ; min : 0 ; max : 800 ; sd : 43.85; missing values : 51334,N
gramlong23,Whole wheat; rye; or barley porridge;Food intake converted to gram per day   (Before 1995);,C,mean : 9.56 ; min : 0 ; max : 800 ; sd : 27.05; missing values : 131017,mean : 7.31 ; min : 0 ; max : 500 ; sd : 20.97; missing values : 51334,N
gramlong24,Rosehip; sweet syrup soup;Food intake converted to gram per day   (Before 1995);,C,mean : 12.66 ; min : 0 ; max : 1000 ; sd : 24.93; missing values : 131017,mean : 11.83 ; min : 0 ; max : 500 ; sd : 20.15; missing values : 51334,N
gramlong25,Sour milk; yoghurt; 3% fat;Food intake converted to gram per day   (Before 1995);,C,mean : 99.15 ; min : 0 ; max : 1240 ; sd : 111.68; missing values : 131017,mean : 100.07 ; min : 0 ; max : 1200 ; sd : 108.2; missing values : 51334,N
gramlong26,Sour milk; yoghurt; low fat;Food intake converted to gram per day   (Before 1995);,C,mean : 43.32 ; min : 0 ; max : 1200 ; sd : 84.76; missing values : 131017,mean : 41.07 ; min : 0 ; max : 1120 ; sd : 81.4; missing values : 51334,N
gramlong27,Fiber cereals (e.g. muesli);Food intake converted to gram per day   (Before 1995);,C,mean : 9 ; min : 0 ; max : 180 ; sd : 13.05; missing values : 131017,mean : 9.34 ; min : 0 ; max : 180 ; sd : 13.32; missing values : 51334,N
gramlong28,Corn flakes;Food intake converted to gram per day   (Before 1995);,C,mean : 3.46 ; min : 0 ; max : 88 ; sd : 5.74; missing values : 131017,mean : 3.79 ; min : 0 ; max : 55 ; sd : 5.95; missing values : 51334,N
gramlong29,Berries; fresh or frozen;Food intake converted to gram per day   (Before 1995);,C,mean : 8.74 ; min : 0 ; max : 260 ; sd : 14.27; missing values : 131017,mean : 7.5 ; min : 0 ; max : 260 ; sd : 12.12; missing values : 51334,N
gramlong30,Apple; pear; peach;Food intake converted to gram per day   (Before 1995);,C,mean : 99.44 ; min : 0 ; max : 1280 ; sd : 90.56; missing values : 50357,mean : 57.1 ; min : 0 ; max : 460 ; sd : 62.62; missing values : 51334,N
gramlong31,Orange; mandarin; grapefruit (Incorportade in ’apple; pear; peach’ in the short FFQ (after 1995));Food intake converted to gram per day   (Before 1995);,C,mean : 12.32 ; min : 0 ; max : 780 ; sd : 19; missing values : 50357,mean : 49.78 ; min : 0 ; max : 460 ; sd : 54.85; missing values : 51334,N
gramlong32,Banana;Food intake converted to gram per day   (Before 1995);,C,mean : 33.02 ; min : 0 ; max : 960 ; sd : 40.23; missing values : 50357,mean : 44.72 ; min : 0 ; max : 420 ; sd : 46.4; missing values : 51334,N
gramlong33,White cabbage (Incorporated in ’lettuce; lettuce cabbage’ in the short FFQ (after 1995));Food intake converted to gram per day   (Before 1995);,C,mean : 6.73 ; min : 0 ; max : 240 ; sd : 13.19; missing values : 133497,mean : 6.8 ; min : 0 ; max : 240 ; sd : 12.86; missing values : 52132,N
gramlong34,Root vegetables; carrot;Food intake converted to gram per day   (Before 1995);,C,mean : 26.26 ; min : 0 ; max : 416 ; sd : 36.07; missing values : 133497,mean : 25.57 ; min : 0 ; max : 416 ; sd : 34.68; missing values : 52132,N
gramlong35,Tomato; cucumber;Food intake converted to gram per day   (Before 1995);,C,mean : 27.71 ; min : 0 ; max : 380 ; sd : 34.14; missing values : 133497,mean : 28.25 ; min : 0 ; max : 380 ; sd : 33.43; missing values : 52132,N
gramlong36,Lettuce; lettuce cabbage;Food intake converted to gram per day   (Before 1995);,C,mean : 8.92 ; min : 0 ; max : 160 ; sd : 12.84; missing values : 133497,mean : 9.16 ; min : 0 ; max : 160 ; sd : 12.57; missing values : 52132,N
gramlong37,Spinach; borecole (Incorporated in ’lettuce; lettuce cabbage’ in the short FFQ (after 1995));Food intake converted to gram per day   (Before 1995);,C,mean : 3.56 ; min : 0 ; max : 375 ; sd : 9.42; missing values : 133497,mean : 3.26 ; min : 0 ; max : 375 ; sd : 8.4; missing values : 52132,N
gramlong38,Mixed frozen vegetables (Food item removed in the short FFQ (after 1995));Food intake converted to gram per day   (Before 1995);,C,mean : 8.47 ; min : 0 ; max : 400 ; sd : 14.6; missing values : 133497,mean : 8.16 ; min : 0 ; max : 250 ; sd : 12.98; missing values : 52132,N
gramlong39,Boiled or baked potato;Food intake converted to gram per day   (Before 1995);,C,mean : 142.09 ; min : 0 ; max : 1280 ; sd : 114.38; missing values : 133134,mean : 142.79 ; min : 0 ; max : 1280 ; sd : 109.09; missing values : 52000,N
gramlong40,Fried potato;Food intake converted to gram per day   (Before 1995);,C,mean : 12.96 ; min : 0 ; max : 960 ; sd : 20.95; missing values : 133134,mean : 12.67 ; min : 0 ; max : 600 ; sd : 17.77; missing values : 52000,N
gramlong41,Pommes frites (Incorporated in ’fried potato’ in the short FFQ (after 1995));Food intake converted to gram per day   (Before 1995);,C,mean : 4.72 ; min : 0 ; max : 600 ; sd : 7.66; missing values : 133134,mean : 5.19 ; min : 0 ; max : 105 ; sd : 6.12; missing values : 52000,N
gramlong42,Mashed potato (Food item removed in the short FFQ (after 1995));Food intake converted to gram per day   (Before 1995);,C,mean : 13.21 ; min : 0 ; max : 1200 ; sd : 17.09; missing values : 133134,mean : 13.35 ; min : 0 ; max : 300 ; sd : 14.11; missing values : 52000,N
gramlong43,Potato salad (Food item removed in the short FFQ (after 1995));Food intake converted to gram per day   (Before 1995);,C,mean : 3.74 ; min : 0 ; max : 760 ; sd : 9.69; missing values : 139086,mean : 3.62 ; min : 0 ; max : 190 ; sd : 5.9; missing values : 55180,N
gramlong44,Rice;Food intake converted to gram per day   (Before 1995);,C,mean : 26.22 ; min : 0 ; max : 960 ; sd : 32.64; missing values : 133134,mean : 27.01 ; min : 0 ; max : 960 ; sd : 27.16; missing values : 52000,N
gramlong45,Pasta;Food intake converted to gram per day   (Before 1995);,C,mean : 34.97 ; min : 0 ; max : 1200 ; sd : 36.44; missing values : 133134,mean : 37.51 ; min : 0 ; max : 500 ; sd : 32.17; missing values : 52000,N
gramlong46,Brown beans; pea soup;Food intake converted to gram per day   (Before 1995);,C,mean : 8.11 ; min : 0 ; max : 800 ; sd : 13.92; missing values : 131017,mean : 7.46 ; min : 0 ; max : 275 ; sd : 11.32; missing values : 51334,N
gramlong47,Blöta (broth + bread)  (Food item removed in the short FFQ (after 1995));Food intake converted to gram per day   (Before 1995);,C,mean : 0.88 ; min : 0 ; max : 320 ; sd : 3.28; missing values : 131017,mean : 0.7 ; min : 0 ; max : 80 ; sd : 2.23; missing values : 51334,N
gramlong48,Pancake; waffle;Food intake converted to gram per day   (Before 1995);,C,mean : 21.77 ; min : 0 ; max : 1120 ; sd : 21.29; missing values : 133134,mean : 22.42 ; min : 0 ; max : 400 ; sd : 16.3; missing values : 52000,N
gramlong49,Swedish (potato) dumpling (Incorporated in ’pancake; waffle’ in the short FFQ (after 1995));Food intake converted to gram per day   (Before 1995),C,mean : 12.19 ; min : 0 ; max : 1000 ; sd : 14.23; missing values : 133134,mean : 12.13 ; min : 0 ; max : 350 ; sd : 11.73; missing values : 52000,N
gramlong50,Pizza;Food intake converted to gram per day   (Before 1995),C,mean : 15.16 ; min : 0 ; max : 1300 ; sd : 18.39; missing values : 131017,mean : 17.02 ; min : 0 ; max : 350 ; sd : 15.24; missing values : 51334,N
gramlong51,Minced meat dishes;Food intake converted to gram per day   (Before 1995),C,mean : 19.78 ; min : 0 ; max : 500 ; sd : 18.81; missing values : 133316,mean : 20.58 ; min : 0 ; max : 500 ; sd : 17.29; missing values : 52066,N
gramlong52,Meat stew;Food intake converted to gram per day   (Before 1995),C,mean : 16.92 ; min : 0 ; max : 437.5 ; sd : 16.67; missing values : 133316,mean : 16.94 ; min : 0 ; max : 300 ; sd : 14.83; missing values : 52066,N
gramlong53,Steak; chop; e.g.;Food intake converted to gram per day   (Before 1995),C,mean : 15.54 ; min : 0 ; max : 375 ; sd : 14.9; missing values : 133316,mean : 15.45 ; min : 0 ; max : 200 ; sd : 13.2; missing values : 52066,N
gramlong54,Bacon;Food intake converted to gram per day   (Before 1995),C,mean : 3.24 ; min : 0 ; max : 150 ; sd : 4.07; missing values : 133316,mean : 3.21 ; min : 0 ; max : 73.5 ; sd : 3.4; missing values : 52066,N
gramlong55,Sausage as main dish;Food intake converted to gram per day   (Before 1995),C,mean : 11.91 ; min : 0 ; max : 500 ; sd : 12.51; missing values : 133316,mean : 12.43 ; min : 0 ; max : 200 ; sd : 10.86; missing values : 52066,N
gramlong56,Hamburger;Food intake converted to gram per day   (Before 1995),C,mean : 5.74 ; min : 0 ; max : 520 ; sd : 7.47; missing values : 131017,mean : 6.55 ; min : 0 ; max : 130 ; sd : 6.46; missing values : 51334,N
gramlong57,White meat (poultry);Food intake converted to gram per day   (Before 1995),C,mean : 10.25 ; min : 0 ; max : 750 ; sd : 10.61; missing values : 133316,mean : 10.42 ; min : 0 ; max : 150 ; sd : 8.43; missing values : 52066,N
gramlong58,Blood-based food (Food item removed in the short FFQ (after 1995));Food intake converted to gram per day   (Before 1995),C,mean : 7.54 ; min : 0 ; max : 412.5 ; sd : 9.42; missing values : 131017,mean : 7.68 ; min : 0 ; max : 189 ; sd : 8.64; missing values : 51334,N
gramlong59,Liver; kidney (Food item removed in the short FFQ (after 1995));Food intake converted to gram per day   (Before 1995),C,mean : 2.33 ; min : 0 ; max : 140 ; sd : 4.39; missing values : 131017,mean : 2.29 ; min : 0 ; max : 140 ; sd : 4.16; missing values : 51334,N
gramlong60,Lean fish (e.g. perch; bass; cod);Food intake converted to gram per day   (Before 1995),C,mean : 11.47 ; min : 0 ; max : 800 ; sd : 12.29; missing values : 133316,mean : 11.35 ; min : 0 ; max : 200 ; sd : 9.55; missing values : 52066,N
gramlong61,Fatty fish (e.g. (Baltic) herring; whitefish; salmon sik; lax);Food intake converted to gram per day   (Before 1995),C,mean : 6.03 ; min : 0 ; max : 500 ; sd : 9; missing values : 133316,mean : 5.57 ; min : 0 ; max : 140 ; sd : 7.1; missing values : 52066,N
gramlong62,Shellfish (e.g. shrimps; scallops) (Food item removed in the short FFQ (after 1995));Food intake converted to gram per day   (Before 1995),C,mean : 2 ; min : 0 ; max : 224 ; sd : 3.23; missing values : 131017,mean : 2.11 ; min : 0 ; max : 56 ; sd : 2.9; missing values : 51334,N
gramlong63,Salty fish;Food intake converted to gram per day   (Before 1995),C,mean : 1.18 ; min : 0 ; max : 240 ; sd : 3.1; missing values : 133316,mean : 0.95 ; min : 0 ; max : 60 ; sd : 2.15; missing values : 52066,N
gramlong64,Smoked fish/meat;Food intake converted to gram per day   (Before 1995),C,mean : 0.92 ; min : 0 ; max : 100 ; sd : 2.06; missing values : 131017,mean : 0.89 ; min : 0 ; max : 100 ; sd : 1.89; missing values : 51334,N
gramlong65,Ice cream;Food intake converted to gram per day   (Before 1995),C,mean : 7.69 ; min : 0 ; max : 288 ; sd : 9.71; missing values : 131017,mean : 8.29 ; min : 0 ; max : 260 ; sd : 9.34; missing values : 51334,N
gramlong66,Sweets (chocolate; candy);Food intake converted to gram per day   (Before 1995),C,mean : 5.96 ; min : 0 ; max : 188 ; sd : 8.47; missing values : 131017,mean : 6.44 ; min : 0 ; max : 160 ; sd : 8.32; missing values : 51334,N
gramlong67,Sugar; honey;Food intake converted to gram per day   (Before 1995),C,mean : 6.31 ; min : 0 ; max : 48 ; sd : 8.69; missing values : 131017,mean : 6.33 ; min : 0 ; max : 48 ; sd : 8.79; missing values : 51334,N
gramlong68,Marmelade; jam (Incorporated in ’sugar; honey’ in the short FFQ (after 1995));Food intake converted to gram per day   (Before 1995),C,mean : 7.58 ; min : 0 ; max : 136 ; sd : 9.82; missing values : 131017,mean : 7.12 ; min : 0 ; max : 136 ; sd : 9.12; missing values : 51334,N
gramlong69,Cookies; pastry;Food intake converted to gram per day   (Before 1995),C,mean : 9.91 ; min : 0 ; max : 208 ; sd : 13.79; missing values : 131017,mean : 10.76 ; min : 0 ; max : 184 ; sd : 13.72; missing values : 51334,N
gramlong70,Chips; salty nuts; popcorn;Food intake converted to gram per day   (Before 1995),C,mean : 1.99 ; min : 0 ; max : 140 ; sd : 3.12; missing values : 131017,mean : 2.31 ; min : 0 ; max : 87.5 ; sd : 2.88; missing values : 51334,N
gramlong71,Milk; 0;5% fat;Food intake converted to gram per day   (Before 1995),C,mean : 58.79 ; min : 0 ; max : 1040 ; sd : 141.44; missing values : 131017,mean : 61.87 ; min : 0 ; max : 1040 ; sd : 145.97; missing values : 51334,N
gramlong72,Milk; sour milk; 1;5% fat;Food intake converted to gram per day   (Before 1995),C,mean : 145.24 ; min : 0 ; max : 1040 ; sd : 186.11; missing values : 131017,mean : 153.18 ; min : 0 ; max : 1040 ; sd : 188.15; missing values : 51334,N
gramlong73,Milk; sour milk; 3% fat;Food intake converted to gram per day   (Before 1995),C,mean : 40.97 ; min : 0 ; max : 1400 ; sd : 132.78; missing values : 131017,mean : 34.67 ; min : 0 ; max : 1400 ; sd : 119.8; missing values : 51334,N
gramlong74,Soft drinks (Incorporated in ’sodas’ in the short FFQ (after 1995));;Food intake converted to gram per day   (Before 1995),C,mean : 71.25 ; min : 0 ; max : 1200 ; sd : 129.35; missing values : 131017,mean : 71.62 ; min : 0 ; max : 1200 ; sd : 123.65; missing values : 51334,N
gramlong75,Sodas (e.g. Coca-cola);Food intake converted to gram per day   (Before 1995),C,mean : 35.96 ; min : 0 ; max : 1200 ; sd : 67.81; missing values : 131017,mean : 35.63 ; min : 0 ; max : 1200 ; sd : 59.09; missing values : 51334,N
gramlong76,Juice (Incorporated in ’sodas’ in the short FFQ (after 1995));Food intake converted to gram per day   (Before 1995),C,mean : 50.09 ; min : 0 ; max : 1000 ; sd : 79.78; missing values : 131017,mean : 51.47 ; min : 0 ; max : 1000 ; sd : 76.32; missing values : 51334,N
gramlong77,Brewed (filtered) coffee;Food intake converted to gram per day   (Before 1995),C,mean : 306.05 ; min : 0 ; max : 800 ; sd : 208.46; missing values : 131017,mean : 315.4 ; min : 0 ; max : 800 ; sd : 209.32; missing values : 51334,N
gramlong78,Boilded coffee;Food intake converted to gram per day   (Before 1995),C,mean : 149.91 ; min : 0 ; max : 800 ; sd : 211.67; missing values : 131017,mean : 148.12 ; min : 0 ; max : 800 ; sd : 212.62; missing values : 51334,N
gramlong79,Tea;Food intake converted to gram per day   (Before 1995),C,mean : 150 ; min : 0 ; max : 1000 ; sd : 197.97; missing values : 131017,mean : 158.45 ; min : 0 ; max : 1000 ; sd : 202.46; missing values : 51334,N
gramlong80,Light beer;Food intake converted to gram per day   (Before 1995),C,mean : 37.95 ; min : 0 ; max : 1320 ; sd : 80.99; missing values : 131017,mean : 38.43 ; min : 0 ; max : 1320 ; sd : 78.84; missing values : 51334,N
gramlong81,Medium beer;Food intake converted to gram per day   (Before 1995),C,mean : 25.6 ; min : 0 ; max : 2000 ; sd : 56.2; missing values : 131017,mean : 26.85 ; min : 0 ; max : 1200 ; sd : 53.56; missing values : 51334,N
gramlong82,Strong beer;Food intake converted to gram per day   (Before 1995),C,mean : 14.49 ; min : 0 ; max : 900 ; sd : 30.61; missing values : 131017,mean : 16.51 ; min : 0 ; max : 900 ; sd : 31.38; missing values : 51334,N
gramlong83,Wine;Food intake converted to gram per day   (Before 1995),C,mean : 11.19 ; min : 0 ; max : 687.5 ; sd : 18.94; missing values : 131017,mean : 11.97 ; min : 0 ; max : 687.5 ; sd : 18.24; missing values : 51334,N
gramlong84,Liquor; spirits;Food intake converted to gram per day   (Before 1995),C,mean : 2.15 ; min : 0 ; max : 336 ; sd : 4.42; missing values : 131017,mean : 2.15 ; min : 0 ; max : 58.8 ; sd : 3.74; missing values : 51334,N
gramshort1,Bregott on bread;Food intake converted to gram per day   (After 1995),C,mean : 8.66 ; min : 0 ; max : 60 ; sd : 9.91; missing values : 48913,mean : 8.57 ; min : 0 ; max : 60 ; sd : 10.06; missing values : 17656,N
gramshort2,Butter on bread;Food intake converted to gram per day   (After 1995),C,mean : 1.39 ; min : 0 ; max : 80 ; sd : 6.36; missing values : 48913,mean : 1.09 ; min : 0 ; max : 60 ; sd : 5.63; missing values : 17656,N
gramshort3,Low fat margarine on bread;Food intake converted to gram per day   (After 1995),C,mean : 4.96 ; min : 0 ; max : 60 ; sd : 8.47; missing values : 48913,mean : 5.97 ; min : 0 ; max : 60 ; sd : 9.08; missing values : 17656,N
gramshort4,Margarine on bread;Food intake converted to gram per day   (After 1995),C,mean : 0.54 ; min : 0 ; max : 40 ; sd : 3.01; missing values : 48913,mean : 0.58 ; min : 0 ; max : 40 ; sd : 3.12; missing values : 17656,N
gramshort5,Butter for cooking;Food intake converted to gram per day   (After 1995),C,mean : 3.23 ; min : 0 ; max : 100 ; sd : 6.85; missing values : 48913,mean : 2.48 ; min : 0 ; max : 100 ; sd : 5.57; missing values : 17656,N
gramshort6,Margarine for cooking;Food intake converted to gram per day   (After 1995),C,mean : 6.64 ; min : 0 ; max : 100 ; sd : 8.8; missing values : 48913,mean : 7.24 ; min : 0 ; max : 80 ; sd : 8.71; missing values : 17656,N
gramshort7,Oil for cooking;Food intake converted to gram per day   (After 1995),C,mean : 5.53 ; min : 0 ; max : 100 ; sd : 7.55; missing values : 48913,mean : 5.29 ; min : 0 ; max : 80 ; sd : 6.89; missing values : 17656,N
gramshort8,Salad dressing with oil;Food intake converted to gram per day   (After 1995),C,mean : 3.33 ; min : 0 ; max : 108 ; sd : 6; missing values : 48913,mean : 3.4 ; min : 0 ; max : 96 ; sd : 5.61; missing values : 17656,N
gramshort9,Cream; crème fraiche; sour cream;Food intake converted to gram per day   (After 1995),C,mean : 6.14 ; min : 0 ; max : 160 ; sd : 7.97; missing values : 48913,mean : 5.63 ; min : 0 ; max : 160 ; sd : 6.54; missing values : 17656,N
gramshort10,Whole grain crisp bread ;Food intake converted to gram per day   (After 1995),C,mean : 23.46 ; min : 0 ; max : 104 ; sd : 20.55; missing values : 48913,mean : 25.83 ; min : 0 ; max : 104 ; sd : 20.54; missing values : 17656,N
gramshort11,Whole grain soft bread;Food intake converted to gram per day   (After 1995),C,mean : 33.36 ; min : 0 ; max : 264 ; sd : 35.95; missing values : 48913,mean : 34.16 ; min : 0 ; max : 248 ; sd : 35.05; missing values : 17656,N
gramshort12,White (soft) bread;Food intake converted to gram per day   (After 1995),C,mean : 16.1 ; min : 0 ; max : 198 ; sd : 21.28; missing values : 48913,mean : 17.21 ; min : 0 ; max : 198 ; sd : 21.18; missing values : 17656,N
gramshort13,Coffee rolls/buns; rusk;Food intake converted to gram per day   (After 1995),C,mean : 9.71 ; min : 0 ; max : 176 ; sd : 14.47; missing values : 48913,mean : 10.24 ; min : 0 ; max : 176 ; sd : 13.63; missing values : 17656,N
gramshort14,Cheese 28% (e.g. Grevè);Food intake converted to gram per day   (After 1995),C,mean : 10.73 ; min : 0 ; max : 96 ; sd : 12.21; missing values : 48913,mean : 11.01 ; min : 0 ; max : 96 ; sd : 12.21; missing values : 17656,N
gramshort15,Cheese 10-17% (e.g. Drabant);Food intake converted to gram per day   (After 1995),C,mean : 4 ; min : 0 ; max : 80 ; sd : 8.42; missing values : 48913,mean : 4.64 ; min : 0 ; max : 80 ; sd : 8.94; missing values : 17656,N
gramshort16,Sausage on bread;Food intake converted to gram per day   (After 1995),C,mean : 4.55 ; min : 0 ; max : 114 ; sd : 7.02; missing values : 48913,mean : 4.55 ; min : 0 ; max : 114 ; sd : 6.45; missing values : 17656,N
gramshort17,Meat on bread;Food intake converted to gram per day   (After 1995),C,mean : 4.19 ; min : 0 ; max : 92 ; sd : 5.72; missing values : 48913,mean : 4.22 ; min : 0 ; max : 92 ; sd : 5.44; missing values : 17656,N
gramshort18,Whole wheat; rye; or barley porridge;Food intake converted to gram per day   (After 1995),C,mean : 36.81 ; min : 0 ; max : 800 ; sd : 59.77; missing values : 48913,mean : 37.16 ; min : 0 ; max : 800 ; sd : 57.04; missing values : 17656,N
gramshort19,Rosehip; sweet syrup soup;Food intake converted to gram per day   (After 1995),C,mean : 8.34 ; min : 0 ; max : 800 ; sd : 24.07; missing values : 48913,mean : 8.3 ; min : 0 ; max : 700 ; sd : 21.14; missing values : 17656,N
gramshort20,Sour milk; yoghurt; 3% fat;Food intake converted to gram per day   (After 1995),C,mean : 92.03 ; min : 0 ; max : 1240 ; sd : 112.76; missing values : 48913,mean : 91.59 ; min : 0 ; max : 1200 ; sd : 106.12; missing values : 17656,N
gramshort21,Sour milk; yoghurt; low fat;Food intake converted to gram per day   (After 1995),C,mean : 56.61 ; min : 0 ; max : 1200 ; sd : 95.35; missing values : 48913,mean : 59.05 ; min : 0 ; max : 1120 ; sd : 93.25; missing values : 17656,N
gramshort22,Fiber cereals (e.g. muesli);Food intake converted to gram per day   (After 1995),C,mean : 10.54 ; min : 0 ; max : 180 ; sd : 14.43; missing values : 48913,mean : 10.96 ; min : 0 ; max : 180 ; sd : 14.01; missing values : 17656,N
gramshort23,Corn flakes;Food intake converted to gram per day   (After 1995),C,mean : 3.01 ; min : 0 ; max : 88 ; sd : 5.63; missing values : 48913,mean : 3.27 ; min : 0 ; max : 88 ; sd : 5.58; missing values : 17656,N
gramshort24,Berries; fresh or frozen;Food intake converted to gram per day   (After 1995),C,mean : 9.69 ; min : 0 ; max : 260 ; sd : 16.37; missing values : 48913,mean : 9.12 ; min : 0 ; max : 260 ; sd : 14.67; missing values : 17656,N
gramshort25,Apple; pear; peach;Food intake converted to gram per day   (After 1995),C,mean : 103.76 ; min : 0 ; max : 460 ; sd : 100.77; missing values : 48913,mean : 114.2 ; min : 0 ; max : 460 ; sd : 104.16; missing values : 17656,N
gramshort26,Banana;Food intake converted to gram per day   (After 1995),C,mean : 41.7 ; min : 0 ; max : 420 ; sd : 47.82; missing values : 48913,mean : 43.01 ; min : 0 ; max : 420 ; sd : 46.12; missing values : 17656,N
gramshort27,Root vegetables; carrot;Food intake converted to gram per day   (After 1995),C,mean : 37.51 ; min : 0 ; max : 416 ; sd : 48.3; missing values : 50130,mean : 39.49 ; min : 0 ; max : 416 ; sd : 48.81; missing values : 18064,N
gramshort28,Tomato; cucumber;Food intake converted to gram per day   (After 1995),C,mean : 40.22 ; min : 0 ; max : 380 ; sd : 46.06; missing values : 50130,mean : 41.47 ; min : 0 ; max : 380 ; sd : 45.63; missing values : 18064,N
gramshort29,Lettuce; lettuce cabbage;Food intake converted to gram per day   (After 1995),C,mean : 30.39 ; min : 0 ; max : 333.32 ; sd : 40.02; missing values : 50130,mean : 31.3 ; min : 0 ; max : 333.32 ; sd : 39.47; missing values : 18064,N
gramshort30,Boiled or baked potato;Food intake converted to gram per day   (After 1995),C,mean : 99.44 ; min : 0 ; max : 1280 ; sd : 90.56; missing values : 50357,mean : 107.66 ; min : 0 ; max : 1280 ; sd : 87.38; missing values : 18255,N
gramshort31,Fried potato;Food intake converted to gram per day   (After 1995),C,mean : 12.32 ; min : 0 ; max : 780 ; sd : 19; missing values : 50357,mean : 11.73 ; min : 0 ; max : 335 ; sd : 13.74; missing values : 18255,N
gramshort32,Rice;Food intake converted to gram per day   (After 1995),C,mean : 33.02 ; min : 0 ; max : 960 ; sd : 40.23; missing values : 50357,mean : 31.99 ; min : 0 ; max : 600 ; sd : 30.05; missing values : 18255,N
gramshort33,Pasta;Food intake converted to gram per day   (After 1995),C,mean : 44.93 ; min : 0 ; max : 1200 ; sd : 45.75; missing values : 50357,mean : 44.47 ; min : 0 ; max : 750 ; sd : 37.9; missing values : 18255,N
gramshort34,Brown beans; pea soup;Food intake converted to gram per day   (After 1995),C,mean : 13.66 ; min : 0 ; max : 1100 ; sd : 28.49; missing values : 48913,mean : 12.39 ; min : 0 ; max : 687.5 ; sd : 22.1; missing values : 17656,N
gramshort35,Pancake; waffle;Food intake converted to gram per day   (After 1995),C,mean : 18.65 ; min : 0 ; max : 1500 ; sd : 21.79; missing values : 50357,mean : 19.45 ; min : 0 ; max : 937.5 ; sd : 16.53; missing values : 18255,N
gramshort36,Pizza;Food intake converted to gram per day   (After 1995),C,mean : 14.96 ; min : 0 ; max : 1300 ; sd : 20.31; missing values : 48913,mean : 14.65 ; min : 0 ; max : 375 ; sd : 14.8; missing values : 17656,N
gramshort37,Minced meat dishes;Food intake converted to gram per day   (After 1995),C,mean : 21.03 ; min : 0 ; max : 800 ; sd : 20.28; missing values : 50502,mean : 20.57 ; min : 0 ; max : 312.5 ; sd : 17.19; missing values : 18279,N
gramshort38,Meat stew;Food intake converted to gram per day   (After 1995),C,mean : 17.99 ; min : 0 ; max : 1200 ; sd : 21.53; missing values : 50502,mean : 17.6 ; min : 0 ; max : 437.5 ; sd : 16.33; missing values : 18279,N
gramshort39,Steak; chop; e.g.;Food intake converted to gram per day   (After 1995),C,mean : 15.76 ; min : 0 ; max : 800 ; sd : 17.6; missing values : 50502,mean : 15.13 ; min : 0 ; max : 500 ; sd : 13.11; missing values : 18279,N
gramshort40,Bacon;Food intake converted to gram per day   (After 1995),C,mean : 4.05 ; min : 0 ; max : 420 ; sd : 5.73; missing values : 50502,mean : 3.7 ; min : 0 ; max : 105 ; sd : 4.19; missing values : 18279,N
gramshort41,Sausage as main dish;Food intake converted to gram per day   (After 1995),C,mean : 11.89 ; min : 0 ; max : 800 ; sd : 13.69; missing values : 50502,mean : 11.53 ; min : 0 ; max : 500 ; sd : 10.9; missing values : 18279,N
gramshort42,Hamburger;Food intake converted to gram per day   (After 1995),C,mean : 7.24 ; min : 0 ; max : 480 ; sd : 8.77; missing values : 48913,mean : 6.87 ; min : 0 ; max : 120 ; sd : 6.57; missing values : 17656,N
gramshort43,White meat (poultry);Food intake converted to gram per day   (After 1995),C,mean : 18.6 ; min : 0 ; max : 1200 ; sd : 22.63; missing values : 50502,mean : 16.57 ; min : 0 ; max : 375 ; sd : 15.21; missing values : 18279,N
gramshort44,Lean fish (e.g. perch; bass; cod);Food intake converted to gram per day   (After 1995),C,mean : 11.81 ; min : 0 ; max : 800 ; sd : 14.75; missing values : 50502,mean : 11.55 ; min : 0 ; max : 275 ; sd : 10.37; missing values : 18279,N
gramshort45,Fatty fish (e.g. (Baltic) herring; whitefish; salmon sik; lax);Food intake converted to gram per day   (After 1995),C,mean : 8.77 ; min : 0 ; max : 800 ; sd : 12.39; missing values : 50502,mean : 7.98 ; min : 0 ; max : 300 ; sd : 9.44; missing values : 18279,N
